from_location;to_location;dist
0.0;0.0;0.0
0.0;1.0;8.1401
0.0;2.0;8.8245
0.0;3.0;9.148700000000002
0.0;4.0;7.7106
0.0;5.0;7.1682
1.0;0.0;8.1605
1.0;1.0;0.0
1.0;2.0;1.1628
1.0;3.0;1.487
1.0;4.0;1.3836
1.0;5.0;1.9287
2.0;0.0;9.4089
2.0;1.0;2.1404
2.0;2.0;0.0
2.0;3.0;1.0027000000000001
2.0;4.0;2.632
2.0;5.0;3.1771
3.0;0.0;9.4021
3.0;1.0;2.1336
3.0;2.0;1.3949
3.0;3.0;0.0
3.0;4.0;2.6252
3.0;5.0;3.1703
4.0;0.0;8.1625
4.0;1.0;1.3297999999999999
4.0;2.0;1.8005
4.0;3.0;2.1247
4.0;4.0;0.0
4.0;5.0;0.9741000000000001
5.0;0.0;7.345899999999999
5.0;1.0;2.0359000000000003
5.0;2.0;2.8289
5.0;3.0;3.153
5.0;4.0;1.1351
5.0;5.0;0.0
