from_location;to_location;dist
0.0;0.0;0.0
0.0;1.0;9.453100000000001
0.0;2.0;8.1401
0.0;3.0;8.8245
0.0;4.0;9.148700000000002
0.0;5.0;7.7106
0.0;6.0;7.1682
0.0;7.0;6.767600000000001
0.0;8.0;5.1899
0.0;9.0;6.6951
0.0;10.0;8.751100000000001
0.0;11.0;6.5949
0.0;12.0;6.0651
0.0;13.0;5.709899999999999
0.0;14.0;8.9238
0.0;15.0;8.961799999999998
0.0;16.0;5.7011
0.0;17.0;6.5249
0.0;18.0;5.1297
0.0;19.0;5.8433
0.0;20.0;4.9912
0.0;21.0;8.8866
1.0;0.0;11.030299999999999
1.0;1.0;0.0
1.0;2.0;3.6324
1.0;3.0;2.8937
1.0;4.0;2.4947
1.0;5.0;4.1239
1.0;6.0;4.6691
1.0;7.0;4.8152
1.0;8.0;3.9599
1.0;9.0;2.8362
1.0;10.0;1.9021
1.0;11.0;3.1494
1.0;12.0;3.4461
1.0;13.0;5.6423000000000005
1.0;14.0;0.6788
1.0;15.0;0.5534
1.0;16.0;5.753100000000001
1.0;17.0;3.7011999999999996
1.0;18.0;4.7984
1.0;19.0;5.9366
1.0;20.0;4.8717
1.0;21.0;5.9018999999999995
2.0;0.0;8.1605
2.0;1.0;3.6218000000000004
2.0;2.0;0.0
2.0;3.0;1.1628
2.0;4.0;1.487
2.0;5.0;1.3836
2.0;6.0;1.9287
2.0;7.0;2.3926999999999996
2.0;8.0;2.9663000000000004
2.0;9.0;3.0998
2.0;10.0;2.5648
2.0;11.0;3.413
2.0;12.0;3.7096999999999998
2.0;13.0;2.9019
2.0;14.0;3.0925
2.0;15.0;3.1305
2.0;16.0;3.0126999999999997
2.0;17.0;3.8255
2.0;18.0;3.9949
2.0;19.0;3.1961999999999997
2.0;20.0;4.0682
2.0;21.0;3.3303000000000003
3.0;0.0;9.4089
3.0;1.0;3.0286999999999997
3.0;2.0;2.1404
3.0;3.0;0.0
3.0;4.0;1.0027000000000001
3.0;5.0;2.632
3.0;6.0;3.1771
3.0;7.0;3.6411
3.0;8.0;3.045
3.0;9.0;3.6884
3.0;10.0;1.9717
3.0;11.0;4.0016
3.0;12.0;4.2983
3.0;13.0;4.1503000000000005
3.0;14.0;2.4993000000000003
3.0;15.0;2.5373
3.0;16.0;4.261100000000001
3.0;17.0;4.5535
3.0;18.0;4.0736
3.0;19.0;4.4446
3.0;20.0;4.1469
3.0;21.0;4.4098999999999995
4.0;0.0;9.4021
4.0;1.0;2.8194
4.0;2.0;2.1336
4.0;3.0;1.3949
4.0;4.0;0.0
4.0;5.0;2.6252
4.0;6.0;3.1703
4.0;7.0;3.6343
4.0;8.0;2.8356999999999997
4.0;9.0;3.6761999999999997
4.0;10.0;1.472
4.0;11.0;3.9894000000000003
4.0;12.0;4.2861
4.0;13.0;4.1435
4.0;14.0;2.29
4.0;15.0;2.328
4.0;16.0;4.2543
4.0;17.0;4.5412
4.0;18.0;3.8643
4.0;19.0;4.4378
4.0;20.0;3.9375999999999998
4.0;21.0;4.4031
5.0;0.0;8.1625
5.0;1.0;4.2595
5.0;2.0;1.3297999999999999
5.0;3.0;1.8005
5.0;4.0;2.1247
5.0;5.0;0.0
5.0;6.0;0.9741000000000001
5.0;7.0;2.3946
5.0;8.0;2.9682
5.0;9.0;3.1016999999999997
5.0;10.0;3.2025
5.0;11.0;3.415
5.0;12.0;3.7116
5.0;13.0;2.1079
5.0;14.0;3.7302
5.0;15.0;3.7681999999999998
5.0;16.0;3.0145999999999997
5.0;17.0;3.8274
5.0;18.0;3.9968000000000004
5.0;19.0;2.4021999999999997
5.0;20.0;4.0701
5.0;21.0;2.5855
6.0;0.0;7.345899999999999
6.0;1.0;5.2878
6.0;2.0;2.0359000000000003
6.0;3.0;2.8289
6.0;4.0;3.153
6.0;5.0;1.1351
6.0;6.0;0.0
6.0;7.0;1.9617
6.0;8.0;2.8371999999999997
6.0;9.0;3.3508
6.0;10.0;4.230899999999999
6.0;11.0;3.664
6.0;12.0;3.6401
6.0;13.0;1.5169000000000001
6.0;14.0;4.7585
6.0;15.0;4.7965
6.0;16.0;2.5816999999999997
6.0;17.0;4.1722
6.0;18.0;4.0563
6.0;19.0;1.8113
6.0;20.0;4.1297
6.0;21.0;3.3630999999999998
7.0;0.0;6.528
7.0;1.0;5.1784
7.0;2.0;2.1847
7.0;3.0;2.8691
7.0;4.0;3.1933000000000002
7.0;5.0;2.4360999999999997
7.0;6.0;2.0622
7.0;7.0;0.0
7.0;8.0;0.9152
7.0;9.0;2.4204
7.0;10.0;4.271100000000001
7.0;11.0;2.3202
7.0;12.0;1.7181
7.0;13.0;1.2694
7.0;14.0;4.649100000000001
7.0;15.0;4.6871
7.0;16.0;1.3802
7.0;17.0;2.2502
7.0;18.0;2.1343
7.0;19.0;1.5637
7.0;20.0;2.2077
7.0;21.0;4.9927
8.0;0.0;7.589
8.0;1.0;4.2542
8.0;2.0;2.1946
8.0;3.0;3.1841
8.0;4.0;2.2106
8.0;5.0;2.7511
8.0;6.0;3.0194
8.0;7.0;1.0194
8.0;8.0;0.0
8.0;9.0;1.6763
8.0;10.0;3.5521
8.0;11.0;1.8789
8.0;12.0;1.2769000000000001
8.0;13.0;2.2265
8.0;14.0;3.7248
8.0;15.0;3.7628000000000004
8.0;16.0;2.6092
8.0;17.0;1.8089000000000002
8.0;18.0;1.5471
8.0;19.0;2.5209
8.0;20.0;1.6205
8.0;21.0;5.3516
9.0;0.0;8.335899999999999
9.0;1.0;3.5136999999999996
9.0;2.0;2.5686999999999998
9.0;3.0;3.5583
9.0;4.0;2.8084000000000002
9.0;5.0;3.1252
9.0;6.0;3.4071
9.0;7.0;2.1208
9.0;8.0;1.2655
9.0;9.0;0.0
9.0;10.0;2.8116999999999996
9.0;11.0;0.455
9.0;12.0;0.7517
