from_location;to_location;dist
0.0;0.0;0.0
0.0;1.0;8.1401
0.0;2.0;8.8245
0.0;3.0;9.148700000000002
0.0;4.0;7.7106
0.0;5.0;7.1682
0.0;6.0;6.767600000000001
0.0;7.0;5.1899
0.0;8.0;6.6951
0.0;9.0;8.751100000000001
0.0;10.0;6.5949
0.0;11.0;6.0651
0.0;12.0;5.709899999999999
0.0;13.0;8.9238
0.0;14.0;8.961799999999998
0.0;15.0;5.7011
0.0;16.0;6.5249
0.0;17.0;5.1297
0.0;18.0;5.8433
0.0;19.0;4.9912
0.0;20.0;8.8866
0.0;21.0;9.9869
0.0;22.0;14.26
0.0;23.0;1.376
0.0;24.0;10.0616
0.0;25.0;14.345600000000001
0.0;26.0;9.9133
0.0;27.0;10.8248
0.0;28.0;9.2847
0.0;29.0;2.8548
0.0;30.0;8.699399999999999
0.0;31.0;4.9911
0.0;32.0;12.3506
0.0;33.0;15.263200000000001
0.0;34.0;1.04
0.0;35.0;12.6448
0.0;36.0;13.423399999999999
0.0;37.0;3.9229000000000003
0.0;38.0;4.3184
0.0;39.0;1.8805999999999998
0.0;40.0;2.3548
1.0;0.0;8.1605
1.0;1.0;0.0
1.0;2.0;1.1628
1.0;3.0;1.487
1.0;4.0;1.3836
1.0;5.0;1.9287
1.0;6.0;2.3926999999999996
1.0;7.0;2.9663000000000004
1.0;8.0;3.0998
1.0;9.0;2.5648
1.0;10.0;3.413
1.0;11.0;3.7096999999999998
1.0;12.0;2.9019
1.0;13.0;3.0925
1.0;14.0;3.1305
1.0;15.0;3.0126999999999997
1.0;16.0;3.8255
1.0;17.0;3.9949
1.0;18.0;3.1961999999999997
1.0;19.0;4.0682
1.0;20.0;3.3303000000000003
1.0;21.0;4.4306
1.0;22.0;4.8384
1.0;23.0;7.1205
1.0;24.0;4.5053
1.0;25.0;5.0607
1.0;26.0;6.4148000000000005
1.0;27.0;5.4379
1.0;28.0;5.9459
1.0;29.0;6.074199999999999
1.0;30.0;5.8051
1.0;31.0;6.5482
1.0;32.0;6.0625
1.0;33.0;6.6081
1.0;34.0;7.636699999999999
1.0;35.0;6.3567
1.0;36.0;7.9914
1.0;37.0;7.2993999999999994
1.0;38.0;10.236600000000001
1.0;39.0;9.270700000000001
1.0;40.0;11.0323
2.0;0.0;9.4089
2.0;1.0;2.1404
2.0;2.0;0.0
2.0;3.0;1.0027000000000001
2.0;4.0;2.632
2.0;5.0;3.1771
2.0;6.0;3.6411
2.0;7.0;3.045
2.0;8.0;3.6884
2.0;9.0;1.9717
2.0;10.0;4.0016
2.0;11.0;4.2983
2.0;12.0;4.1503000000000005
2.0;13.0;2.4993000000000003
2.0;14.0;2.5373
2.0;15.0;4.261100000000001
2.0;16.0;4.5535
2.0;17.0;4.0736
2.0;18.0;4.4446
2.0;19.0;4.1469
2.0;20.0;4.4098999999999995
2.0;21.0;5.5102
2.0;22.0;4.3595
2.0;23.0;8.3689
2.0;24.0;5.584899999999999
2.0;25.0;4.5818
2.0;26.0;7.087899999999999
2.0;27.0;7.1899
2.0;28.0;6.619
2.0;29.0;6.201
2.0;30.0;6.4782
2.0;31.0;7.136699999999999
2.0;32.0;6.2545
2.0;33.0;6.0696
2.0;34.0;8.8851
2.0;35.0;6.5488
2.0;36.0;8.6645
2.0;37.0;8.547799999999999
2.0;38.0;11.485
2.0;39.0;10.5191
2.0;40.0;12.280700000000001
3.0;0.0;9.4021
3.0;1.0;2.1336
3.0;2.0;1.3949
3.0;3.0;0.0
3.0;4.0;2.6252
3.0;5.0;3.1703
3.0;6.0;3.6343
3.0;7.0;2.8356999999999997
3.0;8.0;3.6761999999999997
3.0;9.0;1.472
3.0;10.0;3.9894000000000003
3.0;11.0;4.2861
3.0;12.0;4.1435
3.0;13.0;2.29
3.0;14.0;2.328
3.0;15.0;4.2543
3.0;16.0;4.5412
3.0;17.0;3.8643
3.0;18.0;4.4378
3.0;19.0;3.9375999999999998
3.0;20.0;4.4031
3.0;21.0;5.5034
3.0;22.0;3.3792
3.0;23.0;8.3621
3.0;24.0;6.0601
3.0;25.0;3.6015
3.0;26.0;7.075699999999999
3.0;27.0;6.2151000000000005
3.0;28.0;6.6068
3.0;29.0;5.9917
3.0;30.0;6.466
3.0;31.0;7.1245
3.0;32.0;5.2797
3.0;33.0;5.0948
3.0;34.0;8.8783
3.0;35.0;5.574
3.0;36.0;8.652299999999999
3.0;37.0;8.541
3.0;38.0;11.478200000000001
3.0;39.0;10.5123
3.0;40.0;12.2739
4.0;0.0;8.1625
4.0;1.0;1.3297999999999999
4.0;2.0;1.8005
4.0;3.0;2.1247
4.0;4.0;0.0
4.0;5.0;0.9741000000000001
4.0;6.0;2.3946
4.0;7.0;2.9682
4.0;8.0;3.1016999999999997
4.0;9.0;3.2025
4.0;10.0;3.415
4.0;11.0;3.7116
4.0;12.0;2.1079
4.0;13.0;3.7302
4.0;14.0;3.7681999999999998
4.0;15.0;3.0145999999999997
4.0;16.0;3.8274
4.0;17.0;3.9968000000000004
4.0;18.0;2.4021999999999997
4.0;19.0;4.0701
4.0;20.0;2.5855
4.0;21.0;3.6858
4.0;22.0;5.476100000000001
4.0;23.0;7.1225
4.0;24.0;3.7605
4.0;25.0;5.698300000000001
4.0;26.0;6.4167
4.0;27.0;4.5237
4.0;28.0;5.9479
4.0;29.0;6.0761
4.0;30.0;5.807
4.0;31.0;6.5501000000000005
4.0;32.0;6.0263
4.0;33.0;6.889
4.0;34.0;7.6386
4.0;35.0;6.3205
4.0;36.0;7.9933000000000005
4.0;37.0;7.3013
4.0;38.0;10.2385
4.0;39.0;9.2726
4.0;40.0;11.0342
5.0;0.0;7.345899999999999
5.0;1.0;2.0359000000000003
5.0;2.0;2.8289
5.0;3.0;3.153
5.0;4.0;1.1351
5.0;5.0;0.0
5.0;6.0;1.9617
5.0;7.0;2.8371999999999997
5.0;8.0;3.3508
5.0;9.0;4.230899999999999
5.0;10.0;3.664
5.0;11.0;3.6401
5.0;12.0;1.5169000000000001
5.0;13.0;4.7585
5.0;14.0;4.7965
5.0;15.0;2.5816999999999997
5.0;16.0;4.1722
5.0;17.0;4.0563
5.0;18.0;1.8113
5.0;19.0;4.1297
5.0;20.0;3.3630999999999998
5.0;21.0;4.4634
5.0;22.0;6.850899999999999
5.0;23.0;6.305899999999999
5.0;24.0;4.5381
5.0;25.0;8.3992
5.0;26.0;6.956300000000001
5.0;27.0;5.3013
5.0;28.0;6.4875
5.0;29.0;5.6432
5.0;30.0;6.3467
5.0;31.0;6.7555
5.0;32.0;6.4041999999999994
5.0;33.0;7.666600000000001
5.0;34.0;6.822100000000001
5.0;35.0;6.6983999999999995
5.0;36.0;8.5329
5.0;37.0;6.868399999999999
5.0;38.0;9.422
5.0;39.0;8.456100000000001
5.0;40.0;10.2177
6.0;0.0;6.528
6.0;1.0;2.1847
6.0;2.0;2.8691
6.0;3.0;3.1933000000000002
6.0;4.0;2.4360999999999997
6.0;5.0;2.0622
6.0;6.0;0.0
6.0;7.0;0.9152
6.0;8.0;2.4204
6.0;9.0;4.271100000000001
6.0;10.0;2.3202
6.0;11.0;1.7181
6.0;12.0;1.2694
6.0;13.0;4.649100000000001
6.0;14.0;4.6871
6.0;15.0;1.3802
6.0;16.0;2.2502
6.0;17.0;2.1343
6.0;18.0;1.5637
6.0;19.0;2.2077
6.0;20.0;4.9927
6.0;21.0;6.093
6.0;22.0;6.5447
6.0;23.0;5.488
6.0;24.0;6.1677
6.0;25.0;6.767
6.0;26.0;5.0343
6.0;27.0;6.930899999999999
6.0;28.0;4.5655
6.0;29.0;3.7211999999999996
6.0;30.0;4.4247
6.0;31.0;4.8335
6.0;32.0;8.456700000000001
6.0;33.0;8.3144
6.0;34.0;6.0042
6.0;35.0;8.7509
