Index;Type;Name;Street;Plz;Lat;Lon
0;depot;0;Hansenstr. 69;38112;52.31322;10.49886
1;station;105;Friedrich-Wilhelm-Str. 50;38100;52.26135;10.52108
2;station;101;Leopoldstr. 29;38100;52.25993;10.52221
3;station;162;Wolfenbütteler Str. 85;38102;52.25624;10.52727
4;station;102;Juliusstr. 2a;38118;52.25956;10.50867
5;station;174;Goslarsche Str. 21;38118;52.26416;10.50543
6;station;131;Neustadtring 30;38114;52.27374;10.51176
7;station;143;Rebenring 61;38106;52.27498;10.52408
8;station;129;Karlstr. 10;38106;52.27275;10.53824
9;station;106;Willy-Brandt-Platz 1;38102;52.25311;10.53968
10;station;103;Hans-Sommer-Str. 79;38106;52.27544;10.5364
11;station;216;Nordstr. 33;38106;52.2775;10.53381
12;station;104;Hildesheimer Str. 32;38114;52.27186;10.49639
13;station;142;Helmstedter Str. 107;38126;52.25573;10.54925
14;station;112;Helmstedter Str. 112;38126;52.2555;10.54991
15;station;197;Celler Str. 65;38114;52.27959;10.50537
16;station;115;Hans-Sommer-Str. 25;38106;52.27754;10.54219
17;station;215;Lichtwerkallee 2;38106;52.28118;10.53064
18;station;203;Hannoversche Str. 59;38116;52.27347;10.49348
19;station;214;Weinbergweg 34;30106;52.28231;10.52438
20;station;135;Donauknoten 9;38120;52.24878;10.48746
21;station;185;Elbestr. 27;38120;52.24861;10.478
22;station;128;Hallestr. 72;38124;52.23458;10.5377
23;station;173;Gifhorner Str. 180;38112;52.30675;10.51535
24;station;113;Lichtenberger Str. 51;38120;52.24052;10.47956
25;station;130;Griegstr. 57;38126;52.23327;10.54962
26;station;108;Bevenroder Str. 2;38108;52.28596;10.56313
27;station;228;Kruckweg 5;38122;52.2349;10.4822
28;station;209;Bevenroder Str. 149;38108;52.28858;10.5638
29;station;141;Maybachstr. 4;38112;52.29852;10.5114
30;station;218;Berliner Str. 54a;38104;52.28053;10.57393
31;station;133;Bienroder Weg 53;38108;52.30227;10.54002
32;station;229;Thiedestr. 30;38122;52.21751;10.50162
33;station;110;Senefelderstr. 5;38124;52.21676;10.52825
34;station;175;Daimlerstr. 12;38112;52.31118;10.51012
35;station;226;Rüningenstr. 80;38122;52.21617;10.49979
36;station;219;Ziegelkamp 57;38104;52.29032;10.59446
37;station;171;Hans-Jürgen-Str. 10;38112;52.30445;10.46623
38;station;165;Waggumer Str. 8c;38110;52.31791;10.53422
39;station;163;Hauptstr. 28a;38110;52.32446;10.51365
40;station;164;Hauptstr. 51;38110;52.32836;10.51512
